iter	MultiClass
0	1.005901395
1	0.9259840732
2	0.8561702579
3	0.7944882056
4	0.7395965679
5	0.6903914924
6	0.645941427
7	0.6057187621
8	0.569042641
9	0.5356230772
10	0.504896992
11	0.4766677999
12	0.4505938293
13	0.4265576126
14	0.4043273695
15	0.3836014436
16	0.3645362827
17	0.3466743571
18	0.3299657228
19	0.3144294321
20	0.2999040935
21	0.2863899335
22	0.2737089793
23	0.2617960877
24	0.2506924691
25	0.2402051584
26	0.2304202947
27	0.2212990632
28	0.2125914643
29	0.2045567302
30	0.1968479955
31	0.1897501104
32	0.1829060357
33	0.1765167744
34	0.1705198346
35	0.164853852
36	0.159383213
37	0.1543202124
38	0.1494846154
39	0.1449458979
40	0.1406962047
41	0.1367350466
42	0.1329495591
43	0.1293403455
44	0.125926458
45	0.1228380897
46	0.1198035668
47	0.1169918761
48	0.1142558126
49	0.1117680449
50	0.1093259375
51	0.107027236
52	0.1048269738
53	0.1028941868
54	0.1008618002
55	0.09899144225
56	0.0972914785
57	0.09551651242
58	0.09383476741
59	0.09233296393
60	0.09080955232
61	0.08950553975
62	0.08826961529
63	0.08709016536
64	0.08593957384
65	0.08473246271
66	0.08368747186
67	0.08262501891
68	0.08163872333
69	0.08066645555
70	0.07986507018
71	0.07897051223
72	0.07814095197
73	0.0774154439
74	0.07662955893
75	0.07591904814
76	0.07523828898
77	0.07458051782
78	0.07408215617
79	0.07350243093
80	0.07295052879
81	0.07241400909
82	0.07192322062
83	0.07149697329
84	0.0710507615
85	0.07061571365
86	0.07019108177
87	0.06984840292
88	0.06945303474
89	0.0691323799
90	0.0688797576
91	0.06856849648
92	0.06830886688
93	0.06801099439
94	0.06776558704
95	0.0675236147
96	0.06729056514
97	0.06700737065
98	0.06680426557
99	0.06661427374
100	0.06643426588
101	0.06620810807
102	0.06601178796
103	0.06577734915
104	0.06561969949
105	0.065492457
106	0.06531060314
107	0.06512203077
108	0.06496586942
109	0.06480289259
110	0.06465400202
111	0.06447405831
112	0.06437622075
113	0.06420762973
114	0.06412746073
115	0.06398743832
116	0.06389662532
117	0.06378487196
118	0.06367101417
119	0.06355582568
120	0.06346976103
121	0.06337470825
122	0.06325222972
123	0.06319579996
124	0.06314343751
125	0.06306824123
126	0.06298743105
127	0.06291350392
128	0.06285246321
129	0.06277371733
130	0.06274243585
131	0.06266552137
132	0.06259979648
133	0.0625359793
134	0.06244037792
135	0.062376449
136	0.06229833699
137	0.06222838536
138	0.06217914714
139	0.06213969566
140	0.06206321237
141	0.06198549087
142	0.06193904041
143	0.06189932418
144	0.06182263409
145	0.06175378428
146	0.06169697073
147	0.061664954
148	0.06164300289
149	0.06156076761
150	0.06154866696
151	0.06150911663
152	0.0614713629
153	0.06144819525
154	0.0614287258
155	0.06139851206
156	0.06133682226
157	0.0613207965
158	0.06129711373
159	0.06127486484
160	0.06124643412
161	0.06121294294
162	0.06117105566
163	0.06115601328
164	0.06113862393
165	0.06110608044
166	0.0610806531
167	0.06103300376
168	0.06099129281
169	0.06097948396
170	0.06092571724
171	0.06086038226
172	0.06082717847
173	0.0608024515
174	0.0607639647
175	0.0607374764
176	0.06067679272
177	0.06066346167
178	0.06064751597
179	0.06061996594
180	0.06060683656
181	0.06058223047
182	0.06054023505
183	0.06050238798
184	0.06046971806
185	0.06043462293
186	0.06042672577
187	0.06041063143
188	0.06038567154
189	0.06035873062
190	0.06034358754
191	0.06031579151
192	0.06028936296
193	0.06025421171
194	0.06021671196
195	0.06019969965
196	0.06018312513
197	0.06016666789
198	0.06014924172
199	0.06011655669
200	0.06009342392
201	0.06007702623
202	0.06005562444
203	0.06003889565
204	0.0600150892
205	0.06000371916
206	0.05998687059
207	0.05996945644
208	0.05996111104
209	0.0599459987
210	0.05992882488
211	0.05991894631
212	0.05989369451
213	0.05988443826
214	0.05985010531
215	0.05983278584
216	0.05979814859
217	0.05977913479
218	0.05977192098
219	0.05974453381
220	0.0597261933
221	0.05970733628
222	0.05969710563
223	0.05966928224
224	0.05964889782
225	0.05963664766
226	0.05962743674
227	0.05960592242
228	0.05958595924
229	0.05957354615
230	0.05956439362
231	0.05952899705
232	0.05950408294
233	0.05948619432
234	0.0594491307
235	0.05942630012
236	0.05940195032
237	0.05938942269
238	0.05936454064
239	0.05934958818
240	0.05933749478
241	0.05932674215
242	0.05931505297
243	0.05929887986
244	0.05928683577
245	0.05927418602
246	0.05924982883
247	0.05919688516
248	0.05918322283
249	0.05917035553
250	0.05916058074
251	0.05913466786
252	0.05912046425
253	0.05910465802
